word	count
어떠	226
적절	221
유행	214
계통	212
스마트폰	211
관계자	211
앉다	207
함락	206
들이다	205
포유	204
맞서다	203
동경	203
침해	202
구입	201
화제	201
통칭	199
심각	198
탈퇴	196
시키다	195
마무리	194
펜싱	193
유효	192
대구광역시	191
사형	191
에드워드	191
선전	191
매치	191
수비수	190
광주광역시	189
평론가	188
물러나다	187
북아메리카	186
요인	185
재학	185
타이	185
인접	185
자치체	184
동작	184
바람	184
액션	184
소비에트	183
밀라노	182
갑자기	182
보건	181
화가	181
전작	181
수송	181
저자	180
고유	180
새누리당	180
다소	180
의혹	180
늘리다	179
자극	179
전북	179
전주	179
인류	178
매각	178
후속	177
캠프	177
베네치아	177
숨기다	177
테스트	177
자식	176
구멍	176
확산	175
다큐멘터리	175
재즈	175
선수권	175
복무	175
띠다	174
장악	173
인조	173
강도	173
오디션	173
지사	173
행복	173
자본	173
양자	173
국도	172
명성	172
후원	172
이내	172
나폴리	172
동성애자	171
개설	171
원자	171
기도	171
남서쪽	170
매출	170
요원	170
리드	170
마천루	170
철거	170
서식지	169
안쪽	169
웨일스	169
부장	169
간단	169
글로벌	169
받침	169
득표	168
상실	168
마시다	168
입구	168
징역	168
그해	168
일련	167
수요	167
초점	167
거점	167
관여	167
손실	167
사자	166
한반도	166
언덕	166
화석	166
기호	166
활발	166
조기어류	165
허락	165
국회의원	164
광범위	164
혼자	164
유한	164
원형	163
신부	163
임기	162
희극	162
콜롬비아	161
깊이	161
끝내다	161
베네수엘라	161
시상식	161
필라델피아	161
긍정	161
홍보	161
덧붙이다	161
진압	161
일본인	160
한계	160
매장	160
예전	160
메이지	160
끼치다	159
미리	159
토너먼트	159
서울대학교	159
가설	159
운항	159
입상	159
연간	159
수원	159
동위	159
강의	157
태생	157
감옥	157
남구	157
창당	156
삭제	156
미술관	156
포로	156
주력	156
대량	155
접촉	155
극복	155
서술	155
보편	155
대략	155
개인전	154
학원	154
정확히	154
근본	154
인증	154
세르비아	154
용도	154
일상	153
설득	153
물건	153
오류	153
연안	153
브라운	152
창작	152
관광	152
마블	152
현종	152
중구	152
발탁	152
피터	152
방안	152
태도	151
사당	151
제후	151
동독	151
음악가	151
흑인	151
챔피언스리그	151
내놓다	151
콘텐츠	151
따로	150
상당히	150
동형	150
세로	150
밀리다	150
형사소송법	149
몸무게	149
호수	149
경찰서	149
분명	149
초청	149
프리	148
침입	148
입사	148
스티븐	148
사망자	148
전직	148
수면	148
추적	148
엄청나다	147
부위	147
재건	147
새벽	147
적어도	147
출범	146
계수	146
분화	146
내전	146
시간대	146
기다리다	146
동치	146
꼬리	146
서원	146
캄파니아	145
대책	145
대기	145
멸종	144
공통	144
이민	144
무릎	144
자문	144
공산주의	144
라이언	144
정복	144
형상	143
일요일	143
공자	143
중심지	143
지불	143
함자	143
유통	143
관객	142
향년	142
대가	142
신자	141
골드	141
텍사스	141
창건	141
이혼	141
여론	141
지바	141
가까이	141
프리미어리그	141
선포	141
무료	141
공기	141
벌다	140
한국어	140
고층	140
시사	140
조류	140
궁전	140
지연	140
고객	140
주니어	139
투구	139
사촌	139
총독	139
제작자	139
정치가	139
일체	139
수치	139
번지	139
보상	139
트럭	139
멈추다	139
연료	138
팔리다	138
사냥	138
약칭	138
필름	138
돌파	138
훈장	138
때리다	138
스미스	137
청주	137
간격	137
히트	137
충분	137
희다	137
디비전	137
해설	137
의문	137
승무원	137
주름	137
상처	137
음성	137
퍼시픽	136
저작	136
심장	136
권위	136
찾아가다	136
중지	136
각자	136
소방서	136
저지	136
끊다	136
침몰	136
한자	135
자회사	135
세부	135
넘기다	135
피겨	135
상인	135
접속	135
유소년	135
대화	135
원장	135
유대인	135
애플리케이션	135
공격수	134
종족	134
자르다	133
화물	133
누르다	133
연기자	133
명문	133
축구단	133
지혜	133
아웃	133
내셔널	133
금속	132
대개	132
개막	132
분위기	132
음원	132
본토	132
게이지	132
원수	132
리처드	132
양국	132
정조	132
선수단	132
암호	132
교토	132
오직	132
신장	131
뜨다	131
선사	131
편찬	131
찬성	131
출력	131
에도	131
테이블	131
점성가	130
존스	130
거느리다	130
제주특별자치도	130
바깥	130
유닛	130
신성	130
클래스	130
시내	129
흔적	129
재생	129
폐쇄	129
인지	129
바위	129
노트	129
나쁘다	129
남아프리카	129
담기다	129
목조	128
만화가	128
질문	128
바르셀로나	128
뉴질랜드	128
아나운서	128
데리다	127
공화당	127
주둔	127
리메이크	127
극단	127
실천	127
부지	127
분산	127
서일본	127
일시	127
대승불교	127
토론토	126
기업인	126
절반	126
스타디움	126
상영	126
국장	126
공신	126
훼손	126
구름	126
고급	126
토대	126
황후	126
노출	126
여우	125
정자	125
질환	125
대성전	125
백인	125
대결	125
수출	125
왕자	125
입력	125
영웅	125
발발	125
국방부	125
피다	125
편곡	125
출토	125
항공사	124
둘레	124
마이크로소프트	124
마법	124
체육	124
시계	124
중대	124
사양	124
아무런	124
오염	124
얇다	124
할아버지	123
부탁	123
몸돌	123
비트	123
녹색	123
제독	123
점점	123
소설가	123
시위대	123
심지어	122
무제	122
물고기	122
판타지	122
바라보다	122
완벽	122
복수	122
합성	122
울다	122
커버	122
로스	122
원주민	121
예외	121
침략	121
크림	121
처하다	121
개칭	120
체코	120
진술	120
표본	120
유산	120
생태	120
전향	120
콤팩트	120
자매	120
경제학	120
개명	120
사법	120
망명	120
믹스	120
악화	120
창조	120
샌프란시스코	120
연예	120
지진	119
로드	119
석유	119
가공	119
선임	119
국적	119
요코하마	118
글자	118
순수	118
화려	118
올스타전	118
키우다	118
예비	117
수학자	117
경고	117
재위	117
기소	117
바라다	117
알고리즘	116
반하다	116
명확	116
재개	116
둘러싸다	116
분노	116
히로시마	116
진나라	116
디스크	116
스펙트럼	116
인원	116
북구	116
사기	116
호주	116
평면	115
김대중	115
방위	115
비행기	115
멀리	115
띄다	115
깨다	115
오랫동안	115
카를	115
전술	115
마틴	115
사정	115
종이	115
창원시	115
분열	115
방정식	115
대리	114
아트	114
창간	114
주의자	114
재능	114
집회	114
라틴어	114
주소	114
연산	114
학회	114
글씨	114
싱가포르	113
고기	113
스페셜	113
북미	113
정수	113
루이	113
개체	113
가군	113
마루	113
각지	113
태국	113
착공	112
탐사선	112
고위	112
표지	112
앨런	112
단순히	111
사임	111
지휘관	111
영혼	111
즉시	111
독일어	111
디자이너	111
메달	111
개조	111
농업	110
레이블	110
애플	110
장수	110
반환	110
교차로	110
맡기다	110
승객	110
자책점	110
피아노	110
인공	110
결심	109
명시	109
메모리	109
유튜브	109
학부	109
둥글다	109
캠퍼스	109
대서양	109
진보	109
오스만	109
챌린지	109
사무실	109
인생	109
웨스트	109
부속	109
베이스볼	109
현존	109
부품	109
개국	108
이중	108
부친	108
부담	108
개별	108
지분	108
유가행파	108
습격	108
백작	108
매일	108
멸망	108
국정	107
예방	107
저술	107
삼국	107
진영	107
왕위	107
야구장	107
보험	107
미스	107
계층	107
한국인	107
성분	106
대체로	106
사유	106
수업	106
예수	106
늦다	106
살리다	106
주자	106
아동	106
선물	106
가요	106
서적	105
줄기	105
혜성	105
국정원	105
생존	105
어워드	105
알파	104
타운	104
아벨	104
북서쪽	104
무사	104
통화	104
크로아티아	104
해제	104
당국	104
사물	104
타인	104
벼슬	103
총장	103
세조	103
아랍	103
버지니아	103
주석	103
세종	103
탑신	103
베이스	103
로즈	103
마감	103
규슈	103
혼인	102
감각	102
하여금	102
레벨	102
모서리	102
사이드	102
목성	102
사명	102
과학자	102
고도	102
소득	101
선거구	101
남녀	101
코리아	101
최후	101
이념	101
충분히	101
수익	101
프로그래밍	101
진정	101
조카	101
왕실	100
화성	100
순환	100
실력	100
불안	100
폭풍	100
소집	100
업데이트	100
철학자	100
결론	100
커다랗다	100
꾸미다	100
물리학	100
기체	99
혼합	99
착용	99
랭킹	99
무시	99
프리드리히	99
지리	99
달라지다	99
출판사	99
집필	99
장남	99
일환	98
영화배우	98
쿠바	98
넘어가다	98
가난	98
프로이센	98
강등	97
크리스	97
프레임	97
묶다	97
명나라	97
닮다	97
조상	97
압력	97
자유형	97
사운드	97
필드	97
지수	96
고교	96
독일군	96
반발	96
여단	96
학살	96
효력	96
건국	95
배포	95
직무	95
당나라	95
영구	95
상장	95
나열	95
개방	95
항의	95
다스리다	95
취재	95
내려가다	95
변신	94
물체	94
남동쪽	94
후쿠오카	94
계곡	94
센트럴	94
개장	94
군수	94
주말	94
경남	94
잭슨	94
커지다	94
인쇄	94
공로	93
가량	93
블록	93
이자	93
수소	93
페이지	93
커뮤니티	93
리스트	93
날개	93
곡선	93
작동	93
업적	93
토마스	93
집권	93
입대	93
롯데	93
합리	92
레드	92
중계	92
반경	92
뮌헨	91
지형	91
미분	91
프랑스어	91
이행	91
수색	91
승려	91
스테이지	91
피부	91
두르다	91
백성	91
기용	91
제의	90
연애	90
삽입	90
억제	90
의심	90
잡히다	90
부동산	90
감시	90
매체	90
평양	90
병합	89
장사	89
초상화	89
움직임	89
일본어	89
루마니아	89
스톤	89
전파	89
발음	89
일식	89
균형	89
품다	89
구매	89
종전	89
운전	89
인용	88
도덕	88
명종	88
세인트	88
명의	88
주재	88
조별	88
성경	88
골든	88
존슨	88
노벨	88
후퇴	88
연주자	87
전적	87
레알	87
그린	87
댄스	87
동성애	87
진리	87
기부	87
평생	87
개성	86
확률	86
여왕	86
납치	86
이뤄지다	86
석조	86
생애	86
사제	86
플로리다	86
진단	86
리더십	86
게다가	86
정류장	86
포항	85
오리지널	85
입문	85
포트	85
내려오다	85
사원	85
점프	85
소형	85
코호몰로지	85
유전	85
찾아오다	84
호소	84
무너지다	84
특허	84
홈페이지	84
연구원	84
수법	84
판정	84
무한	84
검색	84
올스타	84
가구	83
촉진	83
파생	83
머물다	83
버그	83
리스	83
신고	83
동구	83
소위	83
포맷	82
통계	82
이날	82
저녁	82
질서	82
